load_addr,years_use
서울특별시 강남구 삼성로 11,3.0
서울특별시 강남구 삼성로 14,40.0
서울특별시 강남구 삼성로 150,38.01477832512315
서울특별시 강남구 삼성로 151,38.31868131868132
서울특별시 강남구 삼성로 212,43.0
서울특별시 강남구 삼성로 417,18.0
서울특별시 강남구 삼성로 517,15.0
서울특별시 강남구 삼성로 629,4.0
서울특별시 강남구 삼성로 636,10.0
서울특별시 강남구 삼성로 649,41.0
서울특별시 강남구 삼성로103길 12,12.0
서울특별시 강남구 삼성로111길 8,14.0
서울특별시 강남구 삼성로112길 8,16.0
서울특별시 강남구 삼성로120길 21,24.0
서울특별시 강남구 삼성로120길 52-5,17.0
서울특별시 강남구 삼성로133길 20,25.0
서울특별시 강남구 삼성로135길 15,7.0
서울특별시 강남구 삼성로135길 28,22.0
서울특별시 강남구 삼성로135길 47,19.0
서울특별시 강남구 삼성로140길 35,23.0
서울특별시 강남구 삼성로147길 22,17.0
서울특별시 강남구 삼성로4길 17,39.0
서울특별시 강남구 삼성로51길 10-13,23.0
서울특별시 강남구 삼성로51길 25,5.0
서울특별시 강남구 삼성로51길 35,7.0
서울특별시 강남구 삼성로51길 37,7.0
서울특별시 강남구 삼성로57길 37-5,19.0
서울특별시 강남구 삼성로57길 45,23.0
서울특별시 강남구 삼성로61길 9,18.0
서울특별시 강남구 삼성로63길 16-5,20.0
서울특별시 강남구 삼성로63길 37,18.0
서울특별시 강남구 삼성로64길 12,23.0
서울특별시 강남구 삼성로64길 36,17.0
서울특별시 강남구 삼성로64길 40,14.0
서울특별시 강남구 삼성로64길 5,23.0
서울특별시 강남구 삼성로67길 14,18.0
서울특별시 강남구 삼성로71길 11-8,19.0
서울특별시 강남구 삼성로75길 34,20.0
서울특별시 강남구 삼성로85길 11,20.0
서울특별시 강남구 삼성로85길 33,6.0
서울특별시 강남구 삼성로85길 38,18.0
서울특별시 강남구 삼성로85길 42,19.0
서울특별시 강남구 삼성로99길 14,21.0
서울특별시 강남구 선릉로 120,38.56565656565657
서울특별시 강남구 선릉로 206,17.0
서울특별시 강남구 선릉로 221,16.0
서울특별시 강남구 선릉로 222,14.0
서울특별시 강남구 선릉로 423,24.0
서울특별시 강남구 선릉로 604,25.0
서울특별시 강남구 선릉로 660,13.0
서울특별시 강남구 선릉로 7,40.0
서울특별시 강남구 선릉로 748,34.0
서울특별시 강남구 선릉로 8,3.0
서울특별시 강남구 선릉로100길 42,19.0
서울특별시 강남구 선릉로107길 24,18.0
서울특별시 강남구 선릉로108길 33,25.0
서울특별시 강남구 선릉로111길 38-16,20.0
서울특별시 강남구 선릉로112길 53,17.0
서울특별시 강남구 선릉로112길 74,20.0
서울특별시 강남구 선릉로126길 22,15.0
서울특별시 강남구 선릉로130길 19,24.0
서울특별시 강남구 선릉로130길 20,15.0
서울특별시 강남구 선릉로130길 33,19.0
서울특별시 강남구 선릉로132길 42,30.0
서울특별시 강남구 선릉로132길 54,15.0
서울특별시 강남구 선릉로137길 21,20.0
서울특별시 강남구 선릉로137길 6,23.0
서울특별시 강남구 선릉로18길 12,28.0
서울특별시 강남구 선릉로190길 112,21.0
서울특별시 강남구 선릉로190길 64,19.0
서울특별시 강남구 선릉로190길 68,12.0
서울특별시 강남구 선릉로190길 72,25.0
서울특별시 강남구 선릉로190길 78,25.0
서울특별시 강남구 선릉로190길 84,23.0
서울특별시 강남구 선릉로190길 90,30.0
서울특별시 강남구 선릉로190길 92,30.0
서울특별시 강남구 선릉로62길 38,18.0
서울특별시 강남구 선릉로69길 19,17.0
서울특별시 강남구 선릉로69길 20,17.0
서울특별시 강남구 선릉로72길 10-7,23.0
서울특별시 강남구 선릉로76길 12,17.0
서울특별시 강남구 선릉로86길 11,19.0
서울특별시 강남구 선릉로87길 14,18.0
서울특별시 강남구 선릉로8길 5,19.0
서울특별시 강남구 선릉로90길 56,18.0
서울특별시 강남구 압구정로 113,35.0
서울특별시 강남구 압구정로 151,39.75879396984924
서울특별시 강남구 압구정로 201,43.56153846153846
서울특별시 강남구 압구정로 309,42.0
서울특별시 강남구 압구정로 313,43.018181818181816
서울특별시 강남구 압구정로 321,44.82035928143713
서울특별시 강남구 압구정로 347,44.0
서울특별시 강남구 압구정로 401,43.0
서울특별시 강남구 압구정로 403,38.0
서울특별시 강남구 압구정로11길 17,40.0
서울특별시 강남구 압구정로14길 16,18.0
서울특별시 강남구 압구정로14길 20,18.0
서울특별시 강남구 압구정로18길 14-14,18.0
서울특별시 강남구 압구정로18길 14-8,19.0
서울특별시 강남구 압구정로22길 29,18.0
서울특별시 강남구 압구정로29길 23,39.0
서울특별시 강남구 압구정로29길 49,26.0
서울특별시 강남구 압구정로29길 51,24.0
서울특별시 강남구 압구정로29길 57,35.0
서울특별시 강남구 압구정로29길 68,45.0
서울특별시 강남구 압구정로29길 69,40.0
서울특별시 강남구 압구정로29길 71,46.0
서울특별시 강남구 압구정로2길 15,16.0
서울특별시 강남구 압구정로2길 20,14.0
서울특별시 강남구 압구정로2길 46,48.0
서울특별시 강남구 압구정로33길 70,45.0
서울특별시 강남구 압구정로34길 49,17.0
서울특별시 강남구 압구정로39길 58,46.0
서울특별시 강남구 압구정로42길 36,18.0
서울특별시 강남구 압구정로42길 46,20.0
서울특별시 강남구 압구정로42길 78,18.0
서울특별시 강남구 압구정로48길 15,21.0
서울특별시 강남구 압구정로50길 28,24.0
서울특별시 강남구 압구정로61길 37,41.0
서울특별시 강남구 압구정로62길 17-4,21.0
서울특별시 강남구 압구정로71길 20,17.0
서울특별시 강남구 압구정로71길 28,3.0
서울특별시 강남구 압구정로71길 30-11,19.0
서울특별시 강남구 압구정로71길 32,12.0
서울특별시 강남구 압구정로73길 30,19.0
서울특별시 강남구 압구정로75길 15,23.0
서울특별시 강남구 압구정로75길 39,18.0
서울특별시 강남구 압구정로75길 40,24.0
서울특별시 강남구 압구정로77길 27,18.0
서울특별시 강남구 압구정로77길 39,22.0
서울특별시 강남구 압구정로77길 42,25.0
서울특별시 강남구 압구정로79길 72,13.0
서울특별시 강남구 압구정로79길 76,13.0
서울특별시 강남구 압구정로79길 87,16.0
서울특별시 강남구 압구정로79길 88,2.0
서울특별시 강남구 양재대로 379,21.0
서울특별시 강남구 양재대로33길 14,27.0
서울특별시 강남구 양재대로55길 12,30.0
서울특별시 강남구 언주로 103,34.0
서울특별시 강남구 언주로 105,36.0
서울특별시 강남구 언주로 107,36.0
서울특별시 강남구 언주로 110,38.0
서울특별시 강남구 언주로 117,37.0
서울특별시 강남구 언주로 118,24.0
서울특별시 강남구 언주로 122,24.0
서울특별시 강남구 언주로 123,37.0
서울특별시 강남구 언주로 203,23.0
서울특별시 강남구 언주로 21,38.0
서울특별시 강남구 언주로 3,35.0
서울특별시 강남구 언주로 316,25.0
서울특별시 강남구 언주로 320,18.0
서울특별시 강남구 언주로 322,18.0
서울특별시 강남구 언주로 332,16.0
서울특별시 강남구 언주로 406,43.0
서울특별시 강남구 언주로 420,6.0
서울특별시 강남구 언주로 427,20.0
서울특별시 강남구 언주로 604,8.0
서울특별시 강남구 언주로 615,2.0
서울특별시 강남구 언주로 620,25.0
서울특별시 강남구 언주로103길 12,18.0
서울특별시 강남구 언주로103길 14,17.0
서울특별시 강남구 언주로103길 16,17.0
서울특별시 강남구 언주로104길 35,21.0
서울특별시 강남구 언주로116길 12,26.0
서울특별시 강남구 언주로116길 6,19.0
서울특별시 강남구 언주로122길 25,18.0
서울특별시 강남구 언주로122길 6,22.0
서울특별시 강남구 언주로125길 12,19.0
서울특별시 강남구 언주로130길 30,18.0
서울특별시 강남구 언주로136길 16,13.0
서울특별시 강남구 언주로136길 21,20.0
서울특별시 강남구 언주로146길 18,37.0
서울특별시 강남구 언주로157길 23,17.0
서울특별시 강남구 언주로164길 20,20.0
서울특별시 강남구 언주로167길 15,26.0
서울특별시 강남구 언주로167길 9,18.0
서울특별시 강남구 언주로29길 34,36.0
서울특별시 강남구 언주로30길 10,23.0
서울특별시 강남구 언주로30길 13,23.0
서울특별시 강남구 언주로30길 21,18.0
서울특별시 강남구 언주로30길 26,18.0
서울특별시 강남구 언주로30길 27,26.0
서울특별시 강남구 언주로30길 56,20.0
서울특별시 강남구 언주로30길 57,19.0
서울특별시 강남구 언주로63길 30,20.0
서울특별시 강남구 언주로63길 32,19.0
서울특별시 강남구 언주로69길 31,15.0
서울특별시 강남구 언주로70길 18-8,20.0
서울특별시 강남구 언주로70길 24,30.0
서울특별시 강남구 언주로75길 22,20.0
서울특별시 강남구 언주로81길 28,5.0
서울특별시 강남구 언주로81길 31,18.0
서울특별시 강남구 언주로85길 13,20.0
서울특별시 강남구 언주로86길 11,21.0
서울특별시 강남구 언주로86길 12,21.0
서울특별시 강남구 언주로86길 25,18.0
서울특별시 강남구 언주로86길 7,19.0
서울특별시 강남구 언주로90길 4,19.0
서울특별시 강남구 언주로90길 6,19.0
서울특별시 강남구 언주로90길 8,7.0
서울특별시 강남구 언주로97길 22,17.0
서울특별시 강남구 역삼로 109,17.0
서울특별시 강남구 역삼로 171,18.0
서울특별시 강남구 역삼로 237,18.0
서울특별시 강남구 역삼로 240,19.0
서울특별시 강남구 역삼로 306,16.0
서울특별시 강남구 역삼로 307,16.0
서울특별시 강남구 역삼로 309,15.0
서울특별시 강남구 역삼로 314,16.0
서울특별시 강남구 역삼로 315-1,10.0
서울특별시 강남구 역삼로 434,19.0
서울특별시 강남구 역삼로 436,19.0
서울특별시 강남구 역삼로 438,19.0
서울특별시 강남구 역삼로 451,16.0
서울특별시 강남구 역삼로10길 13,7.0
서울특별시 강남구 역삼로19길 12,16.0
서울특별시 강남구 역삼로19길 14,19.0
서울특별시 강남구 역삼로19길 25,5.0
서울특별시 강남구 역삼로25길 21,10.0
서울특별시 강남구 역삼로25길 27,10.0
서울특별시 강남구 역삼로33길 13,19.0
서울특별시 강남구 역삼로33길 19,23.0
서울특별시 강남구 역삼로34길 12,18.0
서울특별시 강남구 역삼로34길 25,15.0
서울특별시 강남구 역삼로74길 8,19.0
서울특별시 강남구 영동대로 210,39.0
서울특별시 강남구 영동대로 220,39.0
서울특별시 강남구 영동대로 230,38.0
서울특별시 강남구 영동대로 325,26.0
서울특별시 강남구 영동대로 330-7,18.0
서울특별시 강남구 영동대로 602,19.0
서울특별시 강남구 영동대로 640,18.0
서울특별시 강남구 영동대로112길 15,24.0
서울특별시 강남구 영동대로112길 24,18.0
서울특별시 강남구 영동대로112길 46,9.0
서울특별시 강남구 영동대로112길 67,15.0
서울특별시 강남구 영동대로114길 23,28.0
서울특별시 강남구 영동대로114길 56,16.555555555555557
서울특별시 강남구 영동대로114길 63,19.0
서울특별시 강남구 영동대로114길 71-3,18.0
서울특별시 강남구 영동대로114길 72,14.0
서울특별시 강남구 영동대로118길 76,18.0
서울특별시 강남구 영동대로128길 15,41.0
서울특별시 강남구 영동대로128길 45,12.0
서울특별시 강남구 영동대로128길 5,32.0
서울특별시 강남구 영동대로128길 51,12.0
서울특별시 강남구 영동대로128길 55,16.0
서울특별시 강남구 영동대로138길 12,11.0
서울특별시 강남구 영동대로142길 16,30.0
서울특별시 강남구 영동대로142길 19,12.0
서울특별시 강남구 영동대로142길 21,12.0
서울특별시 강남구 영동대로142길 25,30.0
서울특별시 강남구 영동대로142길 7,26.0
서울특별시 강남구 영동대로57길 28,32.0
서울특별시 강남구 영동대로65길 57,20.0
서울특별시 강남구 영동대로72길 10,18.0
서울특별시 강남구 영동대로85길 17,18.0
