case_year,dong,floor_cat,build_area_cat,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment
2020,서울특별시 성북구 동선동1가,4~7층,86~150m2,1,582000000,582000000,704000000.0,2021,202104,100,121.0,
2020,서울특별시 노원구 상계동,13~20층,61~85m2,1,573000000,573000000,711110000.0,2021,202104,100,124.0,
2020,서울특별시 강남구 대치동,지하~3층,61~85m2,1,1070000000,1070000000,1282500000.0,2021,202104,100,120.0,
2020,서울특별시 구로구 구로동,13~20층,21~60m2,1,668000000,668000000,732600000.0,2021,202104,100,110.0,대항력있는임차인
2020,서울특별시 중구 신당동,지하~3층,61~85m2,1,1020000000,1020000000,1110820000.0,2021,202104,100,109.0,
2020,서울특별시 관악구 신림동,8~12층,6~20m2,1,125000000,100000000,121211000.0,2021,202104,80,97.0,
2019,서울특별시 성동구 옥수동,지하~3층,86~150m2,1,1250000000,1250000000,1625052090.0,2021,202104,100,130.0,
2019,서울특별시 강서구 염창동,8~12층,21~60m2,1,752000000,752000000,911440000.0,2021,202104,100,121.0,
2019,서울특별시 강서구 염창동,13~20층,61~85m2,1,1100000000,1100000000,1365000000.0,2021,202104,100,124.0,
2020,서울특별시 강서구 등촌동,지하~3층,61~85m2,1,765000000,765000000,808000000.0,2021,202104,100,106.0,
2020,서울특별시 양천구 목동,13~20층,86~150m2,1,1703000000,1703000000,1810300000.0,2021,202104,100,106.0,
2020,서울특별시 강동구 천호동,8~12층,61~85m2,1,549000000,549000000,726777700.0,2021,202104,100,132.0,
2020,서울특별시 강동구 둔촌동,4~7층,6~20m2,1,98000000,98000000,135666000.0,2021,202104,100,138.0,토지및건물 지분매각
2020,서울특별시 양천구 신월동,4~7층,21~60m2,1,619000000,619000000,780250000.0,2021,202104,100,126.0,
2019,서울특별시 서초구 서초동,4~7층,21~60m2,1,446000000,446000000,503300000.0,2021,202104,100,113.0,대항력있는임차인
2020,서울특별시 강서구 화곡동,8~12층,21~60m2,1,186000000,76186000,85550000.0,2021,202103,41,46.0,대항력있는임차인
2020,서울특별시 은평구 불광동,4~7층,21~60m2,1,217000000,217000000,222000000.0,2021,202103,100,102.0,
2020,서울특별시 마포구 중동,8~12층,21~60m2,1,385000000,385000000,467999000.0,2021,202103,100,122.0,토지및건물 지분매각
2020,서울특별시 마포구 창전동,4~7층,61~85m2,1,905000000,905000000,963987360.0,2021,202103,100,107.0,
2020,서울특별시 송파구 방이동,지하~3층,61~85m2,1,1080000000,1080000000,1485300000.0,2021,202103,100,138.0,
2019,서울특별시 강서구 방화동,지하~3층,21~60m2,1,344000000,344000000,467000000.0,2021,202103,100,136.0,대항력있는임차인
2019,서울특별시 강서구 등촌동,지하~3층,21~60m2,1,578000000,578000000,735373000.0,2021,202103,100,127.0,
2020,서울특별시 영등포구 여의도동,8~12층,21~60m2,1,350000000,350000000,350000000.0,2021,202103,100,100.0,토지및건물 지분매각
2020,서울특별시 서대문구 연희동,지하~3층,21~60m2,1,215000000,215000000,235700000.0,2021,202103,100,110.0,
2020,서울특별시 은평구 수색동,8~12층,21~60m2,1,599000000,599000000,648900000.0,2021,202103,100,108.0,대항력있는임차인
2020,서울특별시 영등포구 영등포동1가,4~7층,6~20m2,1,138000000,88320000,92900000.0,2021,202103,64,67.0,
2020,서울특별시 동작구 상도동,13~20층,61~85m2,1,1216000000,1216000000,1334612600.0,2021,202103,100,110.0,
2019,서울특별시 노원구 상계동,지하~3층,61~85m2,1,472000000,472000000,665000000.0,2021,202103,100,141.0,
2020,서울특별시 노원구 공릉동,지하~3층,21~60m2,1,322000000,322000000,478310000.0,2021,202103,100,149.0,
2020,서울특별시 성북구 정릉동,4~7층,21~60m2,1,351000000,351000000,361001000.0,2021,202103,100,103.0,토지및건물 지분매각
2020,서울특별시 성북구 삼선동3가,지하~3층,21~60m2,1,148000000,148000000,148000000.0,2021,202103,100,100.0,토지및건물 지분매각
2020,서울특별시 금천구 시흥동,13~20층,86~150m2,1,560000000,560000000,560480000.0,2021,202103,100,100.0,
2020,서울특별시 구로구 구로동,지하~3층,21~60m2,1,448000000,448000000,486770000.0,2021,202103,100,109.0,대항력있는임차인
2019,서울특별시 서대문구 연희동,지하~3층,6~20m2,1,190000000,77824000,127000000.0,2021,202103,41,67.0,
2020,서울특별시 서대문구 홍제동,지하~3층,61~85m2,1,488000000,488000000,527273350.0,2021,202103,100,108.0,
2020,서울특별시 용산구 한강로3가,8~12층,61~85m2,1,1270000000,1270000000,1412000000.0,2021,202103,100,111.0,
2020,서울특별시 서대문구 홍은동,8~12층,61~85m2,1,543000000,543000000,682700000.0,2021,202103,100,126.0,
2019,서울특별시 성동구 옥수동,지하~3층,86~150m2,1,1420000000,1420000000,1721300000.0,2021,202103,100,121.0,
2020,서울특별시 강동구 암사동,지하~3층,61~85m2,1,487000000,487000000,600000000.0,2021,202103,100,123.0,
2020,서울특별시 노원구 하계동,8~12층,21~60m2,1,465000000,465000000,616790000.0,2021,202103,100,133.0,대항력있는임차인
2020,서울특별시 노원구 상계동,21층 이상,61~85m2,1,613000000,613000000,738800000.0,2021,202103,100,121.0,
2020,서울특별시 노원구 중계동,8~12층,61~85m2,1,491000000,491000000,623000777.0,2021,202103,100,127.0,
2020,서울특별시 도봉구 방학동,지하~3층,61~85m2,1,383000000,383000000,487000777.0,2021,202103,100,127.0,
2020,서울특별시 노원구 하계동,13~20층,61~85m2,1,810000000,810000000,1089450000.0,2021,202103,100,135.0,
2019,서울특별시 중구 충무로5가,4~7층,21~60m2,1,320000000,256000000,305550000.0,2021,202103,80,95.0,대항력있는임차인
2020,서울특별시 동작구 대방동,8~12층,86~150m2,1,1474000000,1474000000,1499999999.0,2021,202103,100,102.0,
2020,서울특별시 강남구 개포동,4~7층,21~60m2,1,1650000000,1650000000,1889999999.0,2021,202103,100,115.0,
2020,서울특별시 강서구 화곡동,4~7층,61~85m2,1,367000000,367000000,389110000.0,2021,202103,100,106.0,
2020,서울특별시 관악구 봉천동,21층 이상,86~150m2,1,830000000,830000000,1011000000.0,2021,202103,100,122.0,
2019,서울특별시 종로구 평창동,8~12층,151m2 이상,1,1930000000,1235200000,1619900000.0,2021,202102,64,84.0,대항력있는임차인
2020,서울특별시 구로구 구로동,8~12층,61~85m2,1,442000000,442000000,545777000.0,2021,202102,100,123.0,
2020,서울특별시 강서구 화곡동,8~12층,61~85m2,1,479000000,383200000,505610000.0,2021,202102,80,106.0,
2020,서울특별시 구로구 개봉동,21층 이상,86~150m2,1,553000000,553000000,752830000.0,2021,202102,100,136.0,
2019,서울특별시 영등포구 영등포동1가,8~12층,6~20m2,1,148000000,94720000,103100000.0,2021,202102,64,70.0,
2019,서울특별시 영등포구 영등포동1가,8~12층,6~20m2,1,138000000,88320000,112100000.0,2021,202102,64,81.0,
2019,서울특별시 영등포구 영등포동1가,8~12층,6~20m2,1,138000000,88320000,103100000.0,2021,202102,64,75.0,
2019,서울특별시 영등포구 영등포동1가,4~7층,6~20m2,1,145000000,92800000,112100000.0,2021,202102,64,77.0,
2020,서울특별시 강서구 마곡동,지하~3층,6~20m2,0,153000000,122400000,142890000.0,2021,202102,80,93.0,대지권미등기
2020,서울특별시 강서구 방화동,지하~3층,61~85m2,1,589000000,589000000,689130000.0,2021,202102,100,117.0,대항력있는임차인
2020,서울특별시 은평구 녹번동,4~7층,61~85m2,1,330000000,264000000,430370000.0,2021,202102,80,130.0,
2019,서울특별시 동작구 사당동,4~7층,61~85m2,1,1200000000,1200000000,1459800000.0,2021,202102,100,122.0,형식적경매
2019,서울특별시 동작구 사당동,8~12층,61~85m2,1,1240000000,1240000000,1405990000.0,2021,202102,100,113.0,형식적경매
2019,서울특별시 중구 인현동2가,8~12층,61~85m2,1,292000000,292000000,363000000.0,2021,202102,100,124.0,토지및건물 지분매각
2020,서울특별시 양천구 신월동,4~7층,21~60m2,1,182000000,145600000,199199000.0,2021,202102,80,109.0,
2020,서울특별시 강서구 방화동,지하~3층,86~150m2,1,624000000,624000000,675000000.0,2021,202102,100,108.0,
2020,서울특별시 양천구 신월동,4~7층,21~60m2,1,300000000,300000000,300500000.0,2021,202102,100,100.0,대항력있는임차인
2019,서울특별시 양천구 신월동,지하~3층,86~150m2,1,330000000,264000000,335000000.0,2021,202102,80,102.0,
2020,서울특별시 은평구 진관동,지하~3층,61~85m2,1,631000000,631000000,790403080.0,2021,202102,100,125.0,
2020,서울특별시 영등포구 양평동5가,지하~3층,21~60m2,1,670000000,670000000,839999000.0,2021,202102,100,125.0,
2020,서울특별시 용산구 이촌동,지하~3층,61~85m2,1,1610000000,1610000000,1783100000.0,2021,202102,100,111.0,
2020,서울특별시 구로구 고척동,8~12층,6~20m2,1,72588000,72588000,73100000.0,2021,202102,100,101.0,토지및건물 지분매각
2020,서울특별시 송파구 가락동,4~7층,61~85m2,1,705000000,705000000,843350000.0,2021,202102,100,120.0,
2020,서울특별시 도봉구 창동,8~12층,21~60m2,1,273000000,273000000,451990000.0,2021,202102,100,166.0,
2020,서울특별시 도봉구 도봉동,13~20층,21~60m2,1,275000000,275000000,388989000.0,2021,202102,100,141.0,
2019,서울특별시 서대문구 연희동,지하~3층,6~20m2,1,144000000,92160000,110125690.0,2021,202102,64,76.0,대항력있는임차인
2018,서울특별시 노원구 상계동,지하~3층,21~60m2,1,255000000,163200000,481007700.0,2021,202102,64,189.0,
2019,서울특별시 광진구 광장동,4~7층,151m2 이상,0,1698000000,1698000000,1788888888.0,2021,202102,100,105.0,
2019,서울특별시 송파구 신천동,21층 이상,151m2 이상,1,2468000000,1579520000,2313999000.0,2021,202102,64,94.0,
2020,서울특별시 성동구 성수동1가,13~20층,151m2 이상,1,4500000000,3600000000,4111000000.0,2021,202102,80,91.0,
2020,서울특별시 강북구 우이동,4~7층,61~85m2,1,530000000,339200000,618800000.0,2021,202102,64,117.0,
2020,서울특별시 동대문구 장안동,8~12층,6~20m2,1,126000000,100800000,102320000.0,2021,202102,80,81.0,
2020,서울특별시 동대문구 장안동,4~7층,6~20m2,1,124000000,99200000,99519000.0,2021,202102,80,80.0,
2019,서울특별시 강남구 청담동,4~7층,151m2 이상,1,4570000000,1197998000,1231000000.0,2021,202102,26,27.0,선순위전세권
2020,서울특별시 강남구 압구정동,8~12층,86~150m2,1,2870000000,2296000000,3155150000.0,2021,202102,80,110.0,
2019,서울특별시 강남구 청담동,13~20층,151m2 이상,1,6470000000,4140800000,6011000000.0,2021,202102,64,93.0,
2020,서울특별시 동작구 상도동,13~20층,21~60m2,1,675000000,540000000,702365999.0,2021,202102,80,104.0,토지및건물 지분매각
2019,서울특별시 송파구 풍납동,8~12층,86~150m2,1,854000000,854000000,1328810000.0,2021,202102,100,156.0,
2020,서울특별시 광진구 자양동,4~7층,86~150m2,1,1450000000,1450000000,1751010000.0,2021,202102,100,121.0,공유물분할경매
2020,서울특별시 송파구 잠실동,지하~3층,151m2 이상,1,2960000000,2960000000,3110000000.0,2021,202102,100,105.0,
2020,서울특별시 성동구 행당동,13~20층,86~150m2,0,1420000000,1420000000,1500000000.0,2021,202102,100,106.0,
2020,서울특별시 광진구 중곡동,21층 이상,21~60m2,1,385000000,385000000,491999990.0,2021,202102,100,128.0,
2020,서울특별시 송파구 방이동,지하~3층,61~85m2,1,844000000,844000000,1085550000.0,2021,202102,100,129.0,
2020,서울특별시 영등포구 대림동,13~20층,61~85m2,1,573000000,573000000,631000000.0,2021,202101,100,110.0,
2020,서울특별시 강서구 화곡동,4~7층,21~60m2,1,170000000,108800000,164950000.0,2021,202101,64,97.0,"대항력있는임차인,선순위임차권"
2020,서울특별시 강서구 화곡동,8~12층,6~20m2,1,94000000,75200000,76200000.0,2021,202101,80,81.0,대항력있는임차인
2018,서울특별시 성북구 석관동,13~20층,61~85m2,1,474000000,474000000,839900000.0,2021,202101,100,177.0,대항력있는임차인
2019,서울특별시 송파구 잠실동,21층 이상,61~85m2,1,1250000000,409600000,570000100.0,2021,202101,33,46.0,토지및건물 지분매각
2019,서울특별시 송파구 마천동,지하~3층,21~60m2,1,465000000,465000000,605899990.0,2021,202101,100,130.0,
2020,서울특별시 동대문구 청량리동,지하~3층,86~150m2,1,980000000,980000000,1153300000.0,2021,202101,100,118.0,"공유물분할경매,대항력있는임차인"
2020,서울특별시 성북구 하월곡동,21층 이상,151m2 이상,1,1200000000,1200000000,1355000000.0,2021,202101,100,113.0,법정지상권
2020,서울특별시 동대문구 장안동,지하~3층,21~60m2,1,208000000,133120000,170400000.0,2021,202101,64,82.0,지분매각
2020,서울특별시 강북구 미아동,8~12층,21~60m2,1,510000000,510000000,619900000.0,2021,202101,100,122.0,임금채권
2019,서울특별시 구로구 구로동,13~20층,6~20m2,1,126000000,80640000,110970000.0,2021,202101,64,88.0,
2020,서울특별시 금천구 가산동,13~20층,6~20m2,1,121000000,96800000,112000000.0,2021,202101,80,93.0,대항력있는임차인
2020,서울특별시 영등포구 영등포동2가,4~7층,21~60m2,1,227000000,181600000,215000000.0,2021,202101,80,95.0,대항력있는임차인
2020,서울특별시 구로구 개봉동,13~20층,86~150m2,1,560000000,560000000,681110000.0,2021,202101,100,122.0,
2020,서울특별시 영등포구 영등포동1가,8~12층,6~20m2,1,143000000,114400000,122000000.0,2021,202101,80,85.0,"대항력있는임차인,선순위가등기"
2020,서울특별시 영등포구 신길동,13~20층,61~85m2,1,1010000000,1010000000,1200011000.0,2021,202101,100,119.0,
2020,서울특별시 서대문구 연희동,지하~3층,6~20m2,1,182000000,74547000,74547000.0,2021,202101,41,40.95989010989011,대항력있는임차인
2020,서울특별시 성동구 금호동2가,8~12층,61~85m2,1,1300000000,1300000000,1321500000.0,2021,202101,100,102.0,
2019,서울특별시 서대문구 홍은동,,86~150m2,0,313000000,200320000,241000000.0,2020,202012,64,77.0,
2019,서울특별시 은평구 진관동,지하~3층,86~150m2,0,705000000,705000000,830100000.0,2020,202012,100,118.0,대지권미등기
2019,서울특별시 은평구 진관동,13~20층,86~150m2,0,834000000,834000000,963100000.0,2020,202012,100,115.0,대지권미등기
2020,서울특별시 은평구 진관동,지하~3층,86~150m2,0,771000000,771000000,892000000.0,2020,202012,100,116.0,
2019,서울특별시 서대문구 홍은동,지하~3층,86~150m2,1,437000000,349600000,459150000.0,2020,202012,80,105.0,대항력있는임차인
2020,서울특별시 은평구 구산동,4~7층,21~60m2,1,408000000,408000000,541661600.0,2020,202012,100,133.0,
2019,서울특별시 광진구 중곡동,지하~3층,21~60m2,1,478000000,478000000,567100000.0,2020,202012,100,119.0,대항력있는임차인
2020,서울특별시 강동구 길동,4~7층,86~150m2,1,1120000000,1120000000,1265500000.0,2020,202012,100,113.0,
2020,서울특별시 강동구 성내동,13~20층,151m2 이상,1,1220000000,1220000000,1500990000.0,2020,202012,100,123.0,
2019,서울특별시 동작구 상도동,8~12층,21~60m2,1,822000000,822000000,1046990000.0,2020,202012,100,127.0,
2019,서울특별시 양천구 신월동,4~7층,21~60m2,1,300000000,300000000,571230000.0,2020,202012,100,190.0,대항력있는임차인
2020,서울특별시 강서구 화곡동,4~7층,21~60m2,1,260000000,208000000,225000000.0,2020,202012,80,87.0,대항력있는임차인
2020,서울특별시 강서구 내발산동,지하~3층,61~85m2,1,505000000,404000000,405000000.0,2020,202012,80,80.0,
