,case_year,gu,dong,dong0,bunji,floor_cat,build_area_grade,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment_val,result,dong1,"('brand_name', 0)","('addr_lat', 0)","('addr_lng', 0)"
62,2020,송파구,문정동,서울특별시 송파구 문정동,1,13~20층,대형,1,1450000000,1450000000,1791000000.0,2021,202106,100,124.0,0,1,서울특별시 송파구 문정동 1,래미안라센트아파트,37.599480756187695,127.03883000318879
63,2020,강동구,성내동,서울특별시 강동구 성내동,542,지하~3층,대형,1,700000000,700000000,720000000.0,2021,202106,100,103.0,0,1,서울특별시 강동구 성내동 542,래미안라센트아파트,37.599480756187695,127.03883000318879
64,2020,광진구,자양동,서울특별시 광진구 자양동,642,13~20층,소형,1,484500000,484500000,540990000.0,2021,202106,100,112.0,1,1,서울특별시 광진구 자양동 642,래미안라센트아파트,37.599480756187695,127.03883000318879
65,2020,송파구,가락동,서울특별시 송파구 가락동,95-1,13~20층,중형,1,1390000000,1390000000,1481000000.0,2021,202106,100,107.0,0,1,서울특별시 송파구 가락동 95-1,래미안라센트아파트,37.599480756187695,127.03883000318879
66,2020,영등포구,당산동,서울특별시 영등포구 당산동,121-108,4~7층,소형,1,136000000,108800000,121808000.0,2021,202106,80,90.0,0,1,서울특별시 영등포구 당산동 121-108,래미안라센트아파트,37.599480756187695,127.03883000318879
67,2019,용산구,이촌동,서울특별시 용산구 이촌동,435,4~7층,중형,1,1385000000,1385000000,1385116000.0,2021,202106,100,100.0,1,1,서울특별시 용산구 이촌동 435,래미안라센트아파트,37.599480756187695,127.03883000318879
68,2020,마포구,대흥동,서울특별시 마포구 대흥동,660,13~20층,대형,1,1570000000,1570000000,1703000000.0,2021,202106,100,108.0,0,1,서울특별시 마포구 대흥동 660,래미안라센트아파트,37.599480756187695,127.03883000318879
69,2020,은평구,신사동,서울특별시 은평구 신사동,297,4~7층,소형,1,356000000,356000000,480000000.0,2021,202106,100,135.0,0,1,서울특별시 은평구 신사동 297,래미안라센트아파트,37.599480756187695,127.03883000318879
70,2020,노원구,상계동,서울특별시 노원구 상계동,1318,4~7층,초대형,1,703000000,449920000,783000000.0,2021,202105,64,111.0,1,1,서울특별시 노원구 상계동 1318,래미안라센트아파트,37.599480756187695,127.03883000318879
71,2020,성북구,석관동,서울특별시 성북구 석관동,110-2,지하~3층,소형,1,269000000,172160000,281100000.0,2021,202105,64,104.0,1,1,서울특별시 성북구 석관동 110-2,래미안라센트아파트,37.599480756187695,127.03883000318879
72,2020,강북구,미아동,서울특별시 강북구 미아동,1354,지하~3층,중형,1,567000000,567000000,625380000.0,2021,202105,100,110.0,0,1,서울특별시 강북구 미아동 1354,래미안라센트아파트,37.599480756187695,127.03883000318879
73,2020,성북구,하월곡동,서울특별시 성북구 하월곡동,226,8~12층,중형,1,890000000,890000000,998980000.0,2021,202105,100,112.0,0,1,서울특별시 성북구 하월곡동 226,래미안라센트아파트,37.599480756187695,127.03883000318879
74,2020,중랑구,면목동,서울특별시 중랑구 면목동,1502,지하~3층,중형,1,549000000,549000000,592950000.0,2021,202105,100,108.0,0,1,서울특별시 중랑구 면목동 1502,래미안라센트아파트,37.599480756187695,127.03883000318879
75,2020,중랑구,면목동,서울특별시 중랑구 면목동,1510,13~20층,초대형,1,769000000,769000000,889999990.0,2021,202105,100,116.0,0,1,서울특별시 중랑구 면목동 1510,래미안라센트아파트,37.599480756187695,127.03883000318879
76,2020,관악구,봉천동,서울특별시 관악구 봉천동,464-41,지하~3층,초대형,1,615000000,615000000,651110000.0,2021,202105,100,106.0,1,1,서울특별시 관악구 봉천동 464-41,래미안라센트아파트,37.599480756187695,127.03883000318879
77,2020,관악구,신림동,서울특별시 관악구 신림동,1433-55,8~12층,소형,1,125000000,100000000,124000000.0,2021,202105,80,99.0,0,1,서울특별시 관악구 신림동 1433-55,래미안라센트아파트,37.599480756187695,127.03883000318879
78,2020,종로구,평창동,서울특별시 종로구 평창동,66-1,지하~3층,초대형,1,1327000000,1061600000,1233300000.0,2021,202105,80,93.0,0,1,서울특별시 종로구 평창동 66-1,래미안라센트아파트,37.599480756187695,127.03883000318879
79,2019,동대문구,용두동,서울특별시 동대문구 용두동,794,8~12층,소형,1,745000000,745000000,961060000.0,2021,202105,100,129.0,1,1,서울특별시 동대문구 용두동 794,래미안라센트아파트,37.599480756187695,127.03883000318879
80,2020,성북구,안암동1가,서울특별시 성북구 안암동1가,361,8~12층,대형,1,860000000,860000000,974270000.0,2021,202105,100,113.0,1,1,서울특별시 성북구 안암동1가 361,래미안라센트아파트,37.599480756187695,127.03883000318879
81,2020,성북구,하월곡동,서울특별시 성북구 하월곡동,228,지하~3층,소형,1,595000000,595000000,735790000.0,2021,202105,100,124.0,0,1,서울특별시 성북구 하월곡동 228,래미안라센트아파트,37.599480756187695,127.03883000318879
82,2020,중랑구,면목동,서울특별시 중랑구 면목동,1543,지하~3층,소형,1,143000000,143000000,157888880.0,2021,202105,100,110.0,1,1,서울특별시 중랑구 면목동 1543,래미안라센트아파트,37.599480756187695,127.03883000318879
83,2020,중랑구,신내동,서울특별시 중랑구 신내동,479,13~20층,중형,1,569000000,569000000,606100000.0,2021,202105,100,107.0,1,1,서울특별시 중랑구 신내동 479,래미안라센트아파트,37.599480756187695,127.03883000318879
84,2020,노원구,상계동,서울특별시 노원구 상계동,135,4~7층,소형,1,261000000,261000000,415999999.0,2021,202105,100,159.0,0,1,서울특별시 노원구 상계동 135,래미안라센트아파트,37.599480756187695,127.03883000318879
85,2020,노원구,하계동,서울특별시 노원구 하계동,274,4~7층,소형,1,510000000,510000000,564970000.0,2021,202105,100,111.0,1,1,서울특별시 노원구 하계동 274,래미안라센트아파트,37.599480756187695,127.03883000318879
86,2020,구로구,구로동,서울특별시 구로구 구로동,1263,13~20층,대형,1,940000000,940000000,1188990000.0,2021,202105,100,126.0,0,1,서울특별시 구로구 구로동 1263,래미안라센트아파트,37.599480756187695,127.03883000318879
87,2019,서대문구,홍제동,서울특별시 서대문구 홍제동,283-36,8~12층,초대형,1,568000000,568000000,753009001.0,2021,202105,100,133.0,0,1,서울특별시 서대문구 홍제동 283-36,래미안라센트아파트,37.599480756187695,127.03883000318879
88,2020,관악구,봉천동,서울특별시 관악구 봉천동,1698-1,8~12층,중형,1,747000000,747000000,800000000.0,2021,202105,100,107.0,1,1,서울특별시 관악구 봉천동 1698-1,래미안라센트아파트,37.599480756187695,127.03883000318879
89,2020,성동구,상왕십리동,서울특별시 성동구 상왕십리동,12-47,13~20층,소형,1,320000000,256000000,310600000.0,2021,202105,80,97.0,0,1,서울특별시 성동구 상왕십리동 12-47,래미안라센트아파트,37.599480756187695,127.03883000318879
90,2020,강동구,고덕동,서울특별시 강동구 고덕동,693,8~12층,소형,1,1290000000,1032000000,1362511001.0,2021,202105,80,106.0,0,1,서울특별시 강동구 고덕동 693,래미안라센트아파트,37.599480756187695,127.03883000318879
91,2020,송파구,마천동,서울특별시 송파구 마천동,181,8~12층,소형,1,390000000,390000000,471990000.0,2021,202105,100,121.0,0,1,서울특별시 송파구 마천동 181,래미안라센트아파트,37.599480756187695,127.03883000318879
