office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment,floor_cat,build_area_grade,land,date_ym,result,comment_val,gu,dong0,addr_api,Unnamed: 0,addr_name,brand_name,addr_lat,addr_lng
서울동부2계,2018-1883,2018,아파트,"서울특별시 강동구 천호동 333-55, 102동 7층703호 (천호동,천호이-편한세상)",,천호동,333-55,102동,703호,7.0,천이-편한세상,113.86,57.68,767000000,251330000,261210000.0,2020-02-10,2020,2,10,매각,33,34.0,대항력있는임차인,4~7층,대형,1,202002,1,1,강동구,서울특별시 강동구 천호동,서울특별시 강동구 천호동 333-55,846,서울특별시 강동구 천호동 333-55,천호e편한세상아파트,37.54436727818855,127.12433645463754
서울북부2계,2018-11350,2018,아파트,"서울특별시 동대문구 장안동 346-9, 1동 6층603호",,장안동,346-9,1동,603호,6.0,346-9,52.04,17.705,267000000,170880000,205500000.0,2020-02-10,2020,2,10,매각,64,77.0,,4~7층,소형,1,202002,1,0,동대문구,서울특별시 동대문구 장안동,서울특별시 동대문구 장안동 346-9,357,서울특별시 동대문구 장안동 346-9,장안애캐슬오피스텔,37.56858806667942,127.07064502716668
서울동부2계,2018-53990,2018,아파트,서울특별시 송파구 방이동  89 올림픽선수기자촌아파트 321동 11층1101호,,방이동,89,321동,1101호,11.0,89올림픽선수기자촌아파트,100.31,83.15,1520000000,1520000000,1668800000.0,2020-02-10,2020,2,10,배당종결,100,109.78947368421052,,8~12층,대형,1,202002,1,0,송파구,서울특별시 송파구 방이동,서울특별시 송파구 방이동 89,587,서울특별시 송파구 방이동 89,올림픽선수기자촌아파트,37.5143844900996,127.135158949349
서울동부2계,2019-719,2019,아파트,"서울특별시 성동구 성수동1가 708, 101동 16층1602호 (성수동1가,성수동동아그린아파트)",,성수동1가,708,101동,1602호,16.0,708성수동1가아그린아파트,58.32,24.16,640000000,640000000,731222000.0,2020-02-10,2020,2,10,배당종결,100,114.2534375,대항력있는임차인,13~20층,소형,1,202002,1,1,성동구,서울특별시 성동구 성수동1가,서울특별시 성동구 성수동1가 708,328,서울특별시 성동구 성수동1가 708,성수동아그린아파트,37.55101907466686,127.0482927402086
서울동부2계,2019-832,2019,아파트,"서울특별시 성동구 상왕십리동 811, 212동 14층1402호 (상왕십리동,텐즈힐)",,상왕십리동,811,212동,1402호,14.0,텐즈힐,29.98,16.58,462000000,462000000,476486200.0,2020-02-10,2020,2,10,매각,100,103.0,지분매각,13~20층,소형,1,202002,1,1,성동구,서울특별시 성동구 상왕십리동,서울특별시 성동구 상왕십리동 811,853,서울특별시 성동구 상왕십리동 811,텐즈힐2단지아파트,37.57046537873107,127.02467334916216
서울북부2계,2019-3752,2019,아파트,"서울특별시 도봉구 도봉동 87, 4동 7층715호 (도봉동,삼환도봉아파트)",,도봉동,87,4동,715호,7.0,삼환도봉아파트,73.89,40.55,373000000,298400000,402799900.0,2020-02-10,2020,2,10,매각,80,108.0,,4~7층,중형,1,202002,1,0,도봉구,서울특별시 도봉구 도봉동,서울특별시 도봉구 도봉동 87,794,서울특별시 도봉구 도봉동 87,삼환도봉아파트,37.68105938754384,127.04884624191708
서울북부1계,2019-4939,2019,아파트,"서울특별시 노원구 상계동 1285, 103동 9층901호 (상계동,동아불암아파트)",,상계동,1285,103동,901호,9.0,1285상계동아불암아파트,84.9,27.305,484000000,387200000,470777799.0,2020-02-10,2020,2,10,매각,80,97.0,,8~12층,중형,1,202002,1,0,노원구,서울특별시 노원구 상계동,서울특별시 노원구 상계동 1285,518,서울특별시 노원구 상계동 1285,동아불암아파트,37.66695847254833,127.07968881291583
서울북부1계,2019-6201,2019,아파트,"서울특별시 강북구 번동 657, 101동 16층1604호 (미아동,번동동문아파트)",,번동,657,101동,1604호,16.0,657미아동문아파트,84.86,28.01,432000000,432000000,472320000.0,2020-02-10,2020,2,10,매각,100,109.0,,13~20층,중형,1,202002,1,0,강북구,서울특별시 강북구 번동,서울특별시 강북구 번동 657,867,서울특별시 강북구 번동 657,번동동문아파트,37.62395906363404,127.0380973687126
서울북부1계,2019-6836,2019,아파트,"서울특별시 노원구 상계동 1068, 12층1208호 (상계동,상계5지역중앙하이츠아파트)",,상계동,1068,0,1208호,12.0,상계5지역중앙하이츠아파트,84.87,38.83,387000000,387000000,387000500.0,2020-02-10,2020,2,10,매각,100,100.0,,8~12층,중형,1,202002,1,0,노원구,서울특별시 노원구 상계동,서울특별시 노원구 상계동 1068,180,서울특별시 노원구 상계동 1068,상계중앙하이츠5차아파트,37.67219429527272,127.0518011432971
서울동부2계,2019-51854,2019,아파트,"서울특별시 송파구 문정동 618, 송파파크하비오푸르지오108동 17층1704호 (문정동,파크하비오)",,문정동,618,송파파크하비오푸르지오108동,1704호,17.0,파크하비오,84.934,17.578,1090000000,1090000000,1285330000.0,2020-02-10,2020,2,10,배당종결,100,117.92018348623854,,13~20층,중형,1,202002,1,0,송파구,서울특별시 송파구 문정동,서울특별시 송파구 문정동 618,574,서울특별시 송파구 문정동 618,송파파크하비오푸르지오오피스텔,37.47971076036868,127.12480132351254
